Column Name,Required for each Direct Review Activity?,Allowed Formats or Values,Description
Developer ID,Yes,<Integer>,The unique database ID of the developer
Developer Name,Yes,<string>,The name of the developer or vendor of the certified health IT product
Developer Link,Yes,<URL>,Link to the CHPL developer page
Developer Status,Yes,Active; Suspended by ONC; Under certification ban by ONC,The current status of the developer within the program
Direct Review Began,Yes,<MM/DD/YYYY>,The date this direct review was initiated
Direct Review Ended,Required if there are no open Requirements,<MM/DD/YYYY>,"The date this direct review was completed, if applicable"
Circumstances,At least 1 is required,Patient safety issue; Impediment to ONC-ACB; Noncompliance to Conditions and Maintenance of Certification,List of one or more applicable circumstances for ONC to conduct this direct review
Direct Review Requirements,At least 1 is required,<string>,A specific program requirement under review; contains reference to regulation and description
Direct Review Result,Required if Direct Review Ended is not null,Non-conformity; No non-conformity,Result of Direct Review to indicate whether a non-conformity was found
Non-Conformity Type,"Required if Direct Review Result = ""Non-conformity""",<string>,The type of non-conformity found during the review; contains reference to regulation and description
Non-Conformity Status,"Required if Direct Review Result = ""Non-Conformity""",Open; Closed,Indicates whether the non-conformity is open or closed (has been resolved)
Date of Determination,"Required if Direct Review = ""Non-Conformity""",<MM/DD/YYYY>,The date that ONC determined that a non-conformity was present
CAP Approval Date,No,<MM/DD/YYYY>,The date ONC approved the corrective action plan proposed by the developer
Action Began Date,No,<MM/DD/YYYY>,The date that the corrective action was started
Must Complete Date,"Required if ""CAP Approval Date"" is not null",<MM/DD/YYYY>,"The date that the corrective action must be completed in order to avoid termination of the certified product’s certification status and/or a certification ban of the developer, as applicable"
Was Complete Date,No,<MM/DD/YYYY>,The date that the corrective action was completed
Non-Conformity Summary,"Required if Direct Review Result = ""Non-Conformity""",<string>,A brief summary describing why the certified product and/or developer was found to be non-conformant
Non-Conformity Findings,"Required if Direct Review Result = ""Non-Conformity""",<string>,A detailed description of the ONC findings related to the non-conformity
Resolution Description,"Required if Non-conformity Status = ""Closed""",<string>,A detailed description of how the non-conformity was resolved
Developer-Associated Listings,No,List of CHPL IDs associated with this Direct Review,"List of all of the certified products associated with this direct review, as applicable"
Non-conformity Last Updated Date,No,<MM/DD/YYYY HH:MM>,The updated date and time in the system of the non-conformity activity
Retrieved from Jira Time,Yes,<MM/DD/YYYY HH:MM>,The last time this information was refreshed from the database
